depth, learning_rate, estimators, cv_score
7, 0.2, 50, 0.830571593986
7, 0.2, 60, 0.830606147705
7, 0.2, 70, 0.830558092425
8, 0.2, 50, 0.830534990289
8, 0.2, 60, 0.830493112734
8, 0.2, 70, 0.830407024335
9, 0.2, 50, 0.830180109741
7, 0.1, 50, 0.830530486012
9, 0.2, 60, 0.830116976572
9, 0.2, 70, 0.830135433474
7, 0.3, 50, 0.830129793231
7, 0.3, 60, 0.83005250699
7, 0.3, 70, 0.830066940696
8, 0.3, 50, 0.82996806468
8, 0.3, 60, 0.829841791125
8, 0.3, 70, 0.829748995438
9, 0.3, 50, 0.829375809659
9, 0.3, 60, 0.829323587796
7, 0.1, 60, 0.830665202289
9, 0.3, 70, 0.829040856322
7, 0.1, 70, 0.830807501243
8, 0.1, 50, 0.830581032008
8, 0.1, 60, 0.83075446306
8, 0.1, 70, 0.830783323916
9, 0.1, 50, 0.830436925453
9, 0.1, 60, 0.830570221809
9, 0.1, 70, 0.830562689956
