depth, learning_rate, estimators, cv_score
6, 0.19, 50, 0.831019382312
6, 0.19, 60, 0.831056486131
6, 0.19, 70, 0.831023300724
7, 0.19, 50, 0.830908689291
7, 0.19, 60, 0.83079488595
7, 0.19, 70, 0.830737888609
8, 0.19, 50, 0.830743467717
6, 0.18, 50, 0.831051737568
8, 0.19, 60, 0.830566626852
8, 0.19, 70, 0.830539691049
6, 0.17, 50, 0.830981949826
6, 0.17, 60, 0.831036460276
6, 0.17, 70, 0.831109732682
7, 0.17, 50, 0.830858136654
7, 0.17, 60, 0.83088785884
7, 0.17, 70, 0.830829488797
8, 0.17, 50, 0.830629985762
8, 0.17, 60, 0.830665558607
6, 0.18, 60, 0.831087364921
8, 0.17, 70, 0.830592536871
6, 0.18, 70, 0.831078674929
7, 0.18, 50, 0.830921320476
7, 0.18, 60, 0.830968587896
7, 0.18, 70, 0.830972482798
8, 0.18, 50, 0.830738413292
8, 0.18, 60, 0.830694688956
8, 0.18, 70, 0.830676081856
