depth, learning_rate, estimators, cv_score
6, 0.19, 50, 0.83095426532
6, 0.19, 70, 0.830876568353
7, 0.19, 50, 0.830964431415
7, 0.19, 60, 0.830939912186
7, 0.19, 70, 0.830907504846
6, 0.18, 50, 0.83094376396
8, 0.19, 60, 0.8306573474
6, 0.17, 50, 0.830967783488
6, 0.17, 60, 0.831120995237
6, 0.17, 70, 0.83110014879
7, 0.17, 50, 0.830778507835
7, 0.17, 60, 0.830719613185
7, 0.17, 70, 0.830808189831
8, 0.17, 50, 0.830714623141
8, 0.17, 60, 0.830648620089
6, 0.18, 60, 0.83092831199
6, 0.18, 70, 0.830992308349
7, 0.18, 50, 0.831083527472
7, 0.18, 70, 0.830918496719
8, 0.18, 50, 0.830616013199
8, 0.18, 60, 0.830647097809
