depth, learning_rate, estimators, cv_score
6, 0.17, 70, 0.826909115336
6, 0.17, 80, 0.826945964861
7, 0.17, 60, 0.826968759377
7, 0.17, 70, 0.826983755747
7, 0.17, 80, 0.827003728518
8, 0.17, 60, 0.826694522469
8, 0.17, 70, 0.826605411022
6, 0.16, 60, 0.826797587898
8, 0.17, 80, 0.826725868015
6, 0.18, 70, 0.826998672183
6, 0.18, 80, 0.826966907099
7, 0.18, 60, 0.826842559649
7, 0.18, 70, 0.826884363697
7, 0.18, 80, 0.826824856817
8, 0.18, 60, 0.826860407617
8, 0.18, 70, 0.826825642361
8, 0.18, 80, 0.826831873236
6, 0.16, 70, 0.826883406061
6, 0.16, 80, 0.826854091067
7, 0.16, 60, 0.826853970939
7, 0.16, 70, 0.826892550133
7, 0.16, 80, 0.826928552467
8, 0.16, 60, 0.826758085438
8, 0.16, 70, 0.826848350684
