depth, learning_rate, estimators, cv_score
6, 0.17, 60, 0.830960392029
6, 0.17, 70, 0.831008345119
6, 0.17, 80, 0.830978389189
7, 0.17, 60, 0.830888135195
7, 0.17, 70, 0.830894537874
7, 0.17, 80, 0.830801304607
8, 0.17, 60, 0.830664487627
6, 0.16, 60, 0.83107047823
8, 0.17, 70, 0.830682700266
8, 0.17, 80, 0.830646834382
6, 0.18, 60, 0.831077448102
6, 0.18, 70, 0.83102395591
6, 0.18, 80, 0.830984174219
7, 0.18, 60, 0.83076012015
7, 0.18, 70, 0.830829755402
7, 0.18, 80, 0.83074185081
8, 0.18, 60, 0.83064958896
8, 0.18, 70, 0.830668697845
6, 0.16, 70, 0.83105161278
8, 0.18, 80, 0.830690832376
6, 0.16, 80, 0.830981447109
7, 0.16, 60, 0.83099910236
7, 0.16, 70, 0.830977524332
7, 0.16, 80, 0.830942243111
8, 0.16, 60, 0.830745072229
8, 0.16, 70, 0.830690541703
8, 0.16, 80, 0.830748140171
