depth, learning_rate, estimators, cv_score
6, 0.17, 60, 0.830043586125
6, 0.17, 70, 0.830184375342
6, 0.17, 80, 0.830082313348
7, 0.17, 60, 0.829959413215
7, 0.17, 70, 0.82989020475
7, 0.17, 80, 0.82993941921
8, 0.17, 60, 0.829643789925
8, 0.17, 70, 0.829592124297
6, 0.16, 60, 0.829923261968
8, 0.17, 80, 0.829517768625
6, 0.18, 70, 0.830043515767
6, 0.18, 80, 0.829957519314
7, 0.18, 70, 0.829672407364
7, 0.18, 80, 0.82963242008
8, 0.18, 60, 0.829427209937
8, 0.18, 80, 0.829364511008
6, 0.16, 80, 0.829725987462
7, 0.16, 70, 0.829800211052
8, 0.16, 60, 0.829676265714
8, 0.16, 70, 0.829595077353
8, 0.16, 80, 0.829578656924
